,PSO,DBO,COA,KOA,CPO,SBOA
AAPL,0.1133221329109072,0.110978327639204,0.11067099854039439,0.12829599130296632,0.11117734861807861,0.11097393436236541
MSFT,0.0,0.0,0.0,0.0,0.0,9.489763632168514e-08
NVDA,0.39272484562914717,0.3617405743781946,0.3624443138398214,0.38307657890992153,0.3618448176902311,0.36174387410916103
JPM,0.0,0.0,0.0,0.0,0.0,8.589299727639014e-07
GS,0.03638611036760989,0.03434601655902113,0.009390594872845586,0.0,0.034005743534311864,0.0343296018468422
JNJ,0.0,0.0,0.0006871255293593774,0.0,0.0,1.1728043116148922e-06
PFE,0.0,0.0,0.0,0.0,0.0,7.352477601111875e-10
KO,0.0,0.0,0.0,0.0,6.553485574805152e-08,2.3153747730457116e-07
PG,0.006263222032798719,0.0,0.0,0.017218682197513765,0.0,3.706396242003151e-07
WMT,0.39272484562914717,0.4367518640785122,0.4470508276033979,0.3914316980648154,0.43649479326456714,0.4367527823645992
XOM,0.0,0.0,0.0003393621399666396,0.0,0.0,2.3009447630256144e-06
CAT,0.058578843430389986,0.05618321734506826,0.06941677747421475,0.07997704952478304,0.05647723135795554,0.05619477682799918
